date,state,current,target
2017-02-10 08:54:00.733564,no job,69.9,71
2017-02-10 08:54:06.328371,no job,69.7,71
2017-02-10 08:54:11.991196,no job,69.6,71
2017-02-10 08:54:17.608864,no job,69.5,71
2017-02-10 08:54:23.311062,no job,69.5,71
2017-02-10 08:54:29.010010,no job,69.4,71
2017-02-10 08:54:34.622924,no job,69.3,71
2017-02-10 08:54:40.220932,no job,69.2,71
2017-02-10 08:54:45.927179,no job,69.1,71
2017-02-10 08:54:51.542984,no job,68.9,71
2017-02-10 08:54:57.152960,no job,68.8,71
2017-02-10 08:55:03.000427,no job,68.7,71
2017-02-10 08:55:08.608077,no job,68.7,71
2017-02-10 08:55:14.228321,no job,68.6,71
2017-02-10 08:55:19.813726,no job,68.5,71
2017-02-10 08:55:25.439982,no job,68.5,71
2017-02-10 08:55:31.048521,no job,68.4,71
2017-02-10 08:55:36.663423,no job,68.3,71
2017-02-10 08:55:42.276997,no job,68.2,71
2017-02-10 08:55:47.877122,no job,68.1,71
2017-02-10 08:55:53.494451,no job,67.9,71
2017-02-10 08:55:59.103956,no job,67.8,71
2017-02-10 08:56:04.880433,no job,67.8,71
2017-02-10 08:56:10.498792,no job,67.7,71
2017-02-10 08:56:16.208033,no job,67.6,71
2017-02-10 08:56:21.753227,no job,67.6,71
2017-02-10 08:56:27.353033,no job,67.5,71
2017-02-10 08:56:32.937453,no job,67.4,71
2017-02-10 08:56:38.512501,no job,67.3,71
2017-02-10 08:56:44.153501,no job,67.2,71
2017-02-10 08:56:49.709287,no job,67.1,71
2017-02-10 08:56:55.281708,no job,67.1,71
2017-02-10 08:57:00.848200,no job,67,71
2017-02-10 08:57:06.574699,no job,66.9,71
2017-02-10 08:57:12.192593,no job,66.8,71
2017-02-10 08:57:17.782613,no job,66.7,71
2017-02-10 08:57:23.412741,no job,66.6,71
2017-02-10 08:57:29.037035,no job,66.6,71
2017-02-10 08:57:34.629774,no job,66.4,71
2017-02-10 08:57:40.234104,no job,66.3,71
2017-02-10 08:57:45.842814,no job,66.3,71
2017-02-10 08:57:51.476100,no job,66.2,71
2017-02-10 08:57:57.693962,no job,66.2,71
2017-02-10 08:58:03.271330,no job,66.1,71
2017-02-10 08:58:08.864503,no job,66,71
2017-02-10 08:58:14.489671,no job,65.9,71
2017-02-10 08:58:20.928430,no job,65.8,71
2017-02-10 08:58:26.824786,no job,65.7,71
2017-02-10 08:58:32.407196,no job,65.6,71
2017-02-10 08:58:38.028626,no job,65.6,71
2017-02-10 08:58:43.667404,no job,65.5,71
2017-02-10 08:58:49.249390,no job,65.4,71
2017-02-10 08:58:55.196074,no job,65.3,71
2017-02-10 08:59:01.375970,no job,65.2,71
2017-02-10 08:59:07.127453,no job,65.2,71
2017-02-10 08:59:12.716247,no job,65.1,71
2017-02-10 08:59:18.291990,no job,65,71
2017-02-10 08:59:23.860033,no job,65,71
2017-02-10 08:59:29.449882,no job,64.9,71
2017-02-10 08:59:35.040932,no job,64.8,71
2017-02-10 08:59:40.663973,no job,64.7,71
2017-02-10 08:59:47.290420,no job,64.6,71
2017-02-10 08:59:53.171442,no job,64.6,71
2017-02-10 08:59:58.802918,no job,64.5,71
2017-02-10 09:00:04.420002,no job,64.4,71
2017-02-10 09:00:10.087538,no job,64.4,71
2017-02-10 09:00:15.814387,no job,64.2,71
2017-02-10 09:00:21.425328,no job,64.1,71
2017-02-10 09:00:27.015272,no job,64.1,71
2017-02-10 09:00:32.656399,no job,64,71
2017-02-10 09:00:38.272704,no job,63.9,71
2017-02-10 09:00:43.848931,no job,63.8,71
2017-02-10 09:00:49.423030,no job,63.8,71
2017-02-10 09:00:55.019902,no job,63.7,71
2017-02-10 09:01:00.575035,no job,63.6,71
2017-02-10 09:01:06.173562,no job,63.6,71
2017-02-10 09:01:11.726108,no job,63.5,71
2017-02-10 09:01:17.391428,no job,63.4,71
2017-02-10 09:01:23.049848,no job,63.4,71
2017-02-10 09:01:28.684271,no job,63.3,71
2017-02-10 09:01:34.287974,no job,63.2,71
2017-02-10 09:01:39.854229,no job,63.2,71
